Cefeida,RR_Lyrae,BinariaECL,t_C [ME],t_C [fnP],t_C [LS],t_R [ME],t_R [fnP],t_R [LS],t_E [ME],t_E [fnP],t_E [LS],N_E [ME],N_E [fnP],N_E [LS],gC_ME,fC_ME,gRR_ME ,fRR_ME ,gE_ME,fE_ME,columna X
2263,17955,15999,3.236342312,3.236604,3.23631047207724,0.4909360924,0.490923,0.490933191506771,15.3729036,15.378809,15.372754594578,2,2,2,1.2,1,0.5601431311,0.3810271204,0.6539712739,0.4613873935,49
2284,18478,16001,3.635916088,3.635586,3.63555058692007,0.5579682516,0.557957,0.557965266314835,3.391376516,1.695693,1.69560413623027,1,2,2,1.2,1,0.5485760258,0.4092968459,1.142361952,0.5889557306,50
2295,18726,16014,2.911659522,2.91166,2.91163082947077,0.6874545277,0.687455,0.687451591466349,0.6578148989,0.657837,0.657829948599943,2,2,2,1.2,1,0.6318235929,0.3779686823,0.720734655,0.5686884794,51
2297,18813,16239,1.867633354,1.867633,1.86761485175799,0.2804570515,0.280458,0.280454902400718,0.7906769697,0.790693,0.790684692349416,2,2,2,1.2,1,0.3442085175,0.3444098511,1.00282789,0.7105475794,52
2311,18835,17301,1.954519504,1.954424,1.95450014966735,0.5115024105,0.511505,0.511514738165775,3.825301539,1.912839,1.91282035135724,1,2,2,1.2,1,0.5797640554,0.3720052738,0.5759792786,0.3613537189,53
2493,18839,17857,2.851990126,2.85199,2.85216496459643,0.5369103494,0.536923,0.536907382550335,1.04612221,0.523048,0.523049483465686,1,2,2,1.2,1,0.8108195027,0.5739961491,0.9932313421,0.6695575103,54
2543,19818,18565,4.087976525,4.087977,4.08793648100777,0.4362858981,0.436284,0.436283121491521,3.793043649,3.793403,3.7933654285605,2,2,2,1.2,1,0.571687137,0.4216155853,0.7206701043,0.504831104,55
2576,20381,19314,3.194554435,3.194809,3.1947776364607,0.675215647,0.675211,0.675212694125591,2.284403064,2.284273,2.28438032480101,2,2,2,1.2,1,0.7833477604,0.4974091293,0.6507334472,0.481001108,56
2638,20567,19644,4.650533346,4.650533,4.65048792244583,0.6140054646,0.613988,0.614002466267902,4.591848074,4.591321,4.59127593752497,2,2,2,1.2,1,0.5343216249,0.392570261,0.3392513977,0.2555506282,57
2650,20752,19819,3.269874337,3.269608,3.26957542994121,0.4862985387,0.486307,0.48630944179223,1.13665785,1.13669,1.13671106007278,2,2,2,1.2,1,0.5706737009,0.4810930021,0.7306667342,0.4223482436,58
2730,21061,19850,3.571124388,3.571124,3.57108931455112,0.5974429442,0.597449,0.597439944238381,3.659547602,1.829946,1.82992821156436,1,2,2,1.2,1,0.4364625986,0.2670208265,1.378519949,0.7512984453,59
2743,21074,19988,3.575265598,3.575266,3.57523048400703,0.587130108,0.587143,0.587147218851529,6.504973833,6.504974,6.5059668119507,1,1,1,1.2,1,0.5948252512,0.4028648141,0.9685443631,0.6545866899,60
2781,21345,20172,2.99722996,2.997006,2.9969763203536,0.5924053632,0.592405,0.592402363709068,1.144293172,0.572114,0.572108687961215,1,2,2,1.2,1,0.6489446243,0.5743830633,0.6274139581,0.5651321953,61
2799,21365,20318,3.470023336,3.470624,3.47028968532834,0.4894083868,0.489401,0.489405488737444,1.660455401,1.660318,1.66030111920689,2,2,2,1.2,1,0.6645806065,0.3957718847,1.482517246,0.9605695732,62
2823,21878,20507,3.106892641,3.106893,3.10686205503271,0.6881167964,0.688125,0.688113861045485,0.9937928099,0.993817,0.993832235346438,2,2,2,1.2,1,0.4073618579,0.3438695321,1.001539655,0.6948143681,63
2829,22004,20558,2.870577982,2.870578,2.87075529465871,0.3538570418,0.353857,0.353854546634072,54.98420854,27.493314,27.4930538104929,1,2,2,1.2,1,0.9109290712,0.662857758,0.2868129917,0.3185160395,64
2910,23970,21420,5.108094951,5.108746,5.1086962630024,0.3340403855,0.334042,0.334044484035298,1.286456174,1.286539,1.28652602926778,2,2,2,1.2,1,0.9217531548,0.6225130309,1.046919523,0.6174406203,65
2936,24089,22820,4.725653375,4.725096,4.725607234788,0.356498825,0.356501,0.356503732928499,0.4434351742,9.636834,9.63905986610055,1,3,3,1.2,1,0.845081548,0.508518954,0.9419988171,0.7982691496,66
2939,24383,22939,4.370600717,4.370601,4.37055796630659,0.7618805752,0.761878,0.761877793579846,123.1511927,61.771712,61.6760003947303,1,2,2,1.2,1,0.5022604944,0.6153972143,0.7554710616,0.5476501525,67
2943,24631,23142,3.126035988,3.126036,3.12600521610446,0.7044320517,0.704446,0.704429142525052,11.87871358,5.941176,5.94111747120698,1,2,2,1.2,1,0.6205425172,0.5821836341,0.9796194504,0.6906742599,68
2952,25075,23472,3.199910403,3.200166,3.20013440698916,0.2927864733,0.292782,0.292784259760793,17.59599937,8.79619,8.79610392032198,1,2,2,1.2,1,1.934524639,0.9903866592,1.079951689,0.810221074,69
3022,26113,23656,2.614252986,2.614253,2.61422718488836,0.5227004447,0.522702,0.522697494511621,1.503038573,1.503095,1.50296715737432,2,2,2,1.2,1,1.261522143,0.6725712437,1.329171294,0.9761704091,70
3065,26193,24305,3.588068238,3.588068,3.58835423869612,0.3499348246,0.349935,0.349939489024913,3.541383474,0.708267,0.708260301522458,1,5,5,1.2,1,1.037160678,0.7121564915,1.004666538,0.5587707813,71
3251,26652,24469,0.988769311,0.988769,0.988759472163275,0.5999730012,0.599958,0.599970001199952,3.018991874,1.509443,1.50948453334981,1,2,2,1.2,1,0.9246081742,0.808300443,0.6802339931,0.5062335957,72
3259,27169,24853,1.976202764,1.9763,1.97618319717624,0.6477872667,0.647781,0.647784285675727,15.58840622,7.792783,7.7942235807863,1,2,2,1.2,1,0.9234747405,0.7097606906,0.6628770682,0.48199103,73
3377,28461,24857,3.21479681,3.214281,3.2145073453031,0.3552503034,0.35525,0.355247802622347,2.70851503,0.902882,0.90287266437372,1,3,3,1.2,1,1.260304938,0.8945475493,0.5883916151,0.5428615352,74
3400,28468,26555,0.6877597067,0.68776,0.6877528527156,0.2480348406,0.248036,0.248036461724491,46.59958191,46.65389,46.7624620869547,1,1,1,1.2,1,0.7314177089,0.70255711,0.8460350024,0.5800296058,75
3477,28722,27562,4.097588999,4.098008,4.09796781792711,0.344263706,0.344268,0.344268164630683,0.818716729,0.409367,0.40936710067109,1,2,2,1.2,1,1.009429282,0.8138189233,0.6674386553,0.4416363536,76
3549,29444,27894,3.377901934,3.378187,3.37815343219598,0.2965650355,0.296563,0.296567933271548,2.889551071,1.444779,0.963223396914868,1,2,3,1.2,1,0.5350281804,0.3921509131,1.194424299,0.8013448309,77
3554,29660,28617,4.48404152,4.484543,4.48449939705303,0.5000437538,0.500048,0.500040837076732,2.67021442,2.670214,1.33500769893289,1,1,2,1.2,1,1.013920915,1.019055278,0.9609880621,0.7545290425,78
3556,29875,29376,2.999697481,2.999249,2.99944344770276,0.570293416,0.570302,0.570309395941258,0.4197942422,0.41979,0.41979444995794,2,2,2,1.2,1,0.5174131302,0.3436097663,0.6589394285,0.6424986182,79
3565,30055,30750,8.127540618,8.125893,8.12581487502169,0.647836227,0.647833,0.647833246054926,185.2785107,61.962936,62.0584497147765,1,3,3,1.2,1,0.6679042669,0.4438487477,0.7085252145,0.853598894,80
3579,30144,31494,4.10304216,4.103462,4.10342204199812,0.5662433997,0.566265,0.566259113323738,1.66751026,0.833756,0.833765283654122,1,2,2,1.2,1,0.599537832,0.4827575874,1.083557933,0.7573516929,81
3618,31051,32386,0.9644065975,0.964407,0.964396999923812,0.5153465921,0.51535,0.515343651761634,5.109994679,1.703341,1.70332386877639,2,6,6,1.2,1,0.7052073295,0.5155140296,0.5649244033,0.3500483607,82
3666,31715,32654,0.4187736916,0.418774,0.418769512629702,0.5315167273,0.531524,0.531530246588206,1.171964124,1.17193,1.17195243203774,2,2,2,1.2,1,0.8674233816,0.5517973492,0.8271742952,0.6220844783,83
3682,32376,33227,1.891787128,1.891787,1.89176838885839,0.3769424315,0.376945,0.376939846081357,5.277048197,5.277048,5.27699598300495,2,2,2,1.2,1,0.5284172728,0.4988877483,0.610782041,0.3923057908,84
3762,32430,33388,2.116455196,2.116455,2.1164342551696,0.5849464043,0.584954,0.584963366302848,15.3493261,7.674757,7.67468172392881,1,2,2,1.2,1,1.343665874,0.8635608229,1.012608388,0.6246723306,85
3808,34245,33454,1.399573956,1.399574,1.39956005789198,0.5299229845,0.529927,0.529920025436416,0.9514882389,0.951579,0.95156921041423,2,2,2,1.2,1,0.9626424517,0.5190761941,0.6415945672,0.3785895264,86
3856,34604,34342,3.077076931,3.077313,3.07704663341577,0.2626826465,0.262683,0.262684619880609,0.727140245,0.727127,0.727132984136345,2,2,2,1.2,1,0.4859216137,0.3135898715,1.221567515,0.8840913454,87
3990,34693,34516,4.08339518,4.083395,4.08335517950201,0.6065967395,0.6066,0.606615204962162,4.222313593,2.111275,2.111254246197,1,2,2,1.2,1,0.8067922931,0.4529968514,0.8328841775,0.4958801582,88
4041,34739,34711,4.802089101,4.801514,4.80146695885486,0.3863987635,0.386401,0.38640485329349,3.862207259,3.861462,3.8614238509562,2,2,2,1.2,1,1.25845677,1.010160891,0.499811625,0.2932529516,89
4074,34760,34998,0.7757190023,0.775734,0.775726288758,0.3188495907,0.31885,0.318847249383556,1.979719045,0.989861,0.989851211402915,1,2,2,1.2,1,1.263337261,0.7797380825,1.010985856,0.679472188,90
4158,34930,35339,1.378632628,1.378585,1.37861893674743,0.65404006,0.654048,0.654037084273521,0.9285358511,0.464274,0.464274400800306,1,2,2,1.2,1,0.5734992813,0.3325827677,0.7920940354,0.557862021,91
4189,35166,36923,0.4432596704,0.443255,0.443255247673784,0.4950474627,0.495045,0.495044554455445,75.52299675,75.522997,74.9567120659026,2,2,2,1.2,1,1.140653125,0.8048055992,0.3249857428,0.4852962325,92
4232,37054,37246,2.785394672,2.785201,2.78536720559419,0.5945627239,0.594562,0.594559724121529,1.040872568,1.040818,1.04083511782829,2,2,2,1.2,1,1.047410087,0.5915642702,0.932659757,0.6319900232,93
4311,37234,37270,0.8320322775,0.83205,0.83204126433429,0.447761194,0.447762,0.447758387158161,0.8758389201,0.875801,0.875791855124362,2,2,2,1.2,1,0.508873553,0.311440904,1.175446093,0.7940325715,94
4360,38112,37280,3.622442918,3.622116,3.62207998574335,0.3644724413,0.364471,0.364469903596746,1.368472908,1.368426,1.36841248196243,2,2,2,1.2,1,0.4860549433,0.542995094,0.7543146475,0.5639495516,95
4412,38397,37308,1.250223321,1.250184,1.25021089705967,0.6059534931,0.605957,0.605950493349627,8.300123157,2.766732,2.76670470001428,1,3,3,1.2,1,0.5077293482,0.5107126179,0.599399319,0.451428939,96
4467,38567,39328,2.174676544,2.174559,2.17465503374065,0.5313684509,0.531371,0.531365490123145,0.9753663998,0.487678,0.48767870835793,1,2,2,1.2,1,1.211703462,0.9398625419,1.145570688,0.6632804665,97
4479,38632,39770,0.6715574404,0.671557,0.671561999660321,0.7552347207,0.755189,0.755198650698251,1.476103653,1.475995,1.47598008788487,2,2,2,1.2,1,1.216077348,0.9137391936,1.007094899,0.7418527197,98
4526,38746,40051,2.311241219,2.311241,2.31121837326042,0.5024915205,0.502498,0.502503329117847,3.267636628,3.267903,3.26787090656678,2,2,2,1.2,1,0.6751494125,0.4537325617,1.184456063,0.9843618846,99
